TYPE_K,LOKASI,SALES_TYPE,TUN_LEAS
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
LEXI,YMS MAGELANG 3S,Counter Sales,TUNAI
FILANO NEO,YMS MAGELANG 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS MAGELANG 3S,Counter Sales,TUNAI
FILANO NEO,YMS MAGELANG 3S,Counter Sales,TUNAI
FILANO LUX,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS GRABAG 2S,Salesman,TUNAI
FREEGO 125,YMS MAGELANG 3S,Counter Sales,TUNAI
AEROX-C ABS,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS MAGELANG 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS MAGELANG 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
FILANO NEO,YMS MAGELANG 3S,Counter Sales,TUNAI
GEAR 125,YMS MAGELANG 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS MAGELANG 3S,Counter Sales,TUNAI
FREEGO 125,YMS GRABAG 2S,Salesman,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
XMAX C,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
FILANO LUX,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
XMAX C,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
XMAX C,YMS MAGELANG 3S,Counter Sales,TUNAI
XMAX C,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
ALL NEW VIXION,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
AEROX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
LEXI,YMS MAGELANG 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS MAGELANG 3S,Counter Sales,TUNAI
AEROX 155 C,YMS MAGELANG 3S,Counter Sales,TUNAI
FAZZIO LUX,YMS MAGELANG 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS MAGELANG 3S,Counter Sales,TUNAI
NMAX 155,YMS PURWOREJO 3S,Counter Sales,TUNAI
FILANO NEO,YMS PURWOREJO 3S,Counter Sales,TUNAI
XMAX C,YMS PURWOREJO 3S,Salesman,TUNAI
FILANO NEO,YMS PURWOREJO 3S,Salesman,TUNAI
AEROX C CYBERCT,YMS PURWOREJO 3S,Counter Sales,TUNAI
MIO 125,YMS PURWOREJO 3S,Counter Sales,TUNAI
FILANO NEO,YMS KEBUMEN 3S,Counter Sales,TUNAI
NMAX 155,YMS KEBUMEN 3S,Counter Sales,TUNAI
NMAX 155,YMS KEBUMEN 3S,Counter Sales,TUNAI
R15M C-ABS,YMS KEBUMEN 3S,Counter Sales,TUNAI
NMAX 155 C,YMS KEBUMEN 3S,Counter Sales,TUNAI
FILANO LUX,YMS KEBUMEN 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS KEBUMEN 3S,Counter Sales,TUNAI
NMAX 155,YMS KEBUMEN 3S,Salesman,TUNAI
AEROX C CYBERCT,YMS KEBUMEN 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS KEBUMEN 3S,Counter Sales,TUNAI
NMAX 155,YMS KEBUMEN 3S,Counter Sales,TUNAI
NMAX 155 C,YMS PREMBUN 2S,Counter Sales,TUNAI
NMAX 155,YMS PREMBUN 2S,Counter Sales,TUNAI
NMAX 155,YMS WONOSOBO 3S,Counter Sales,TUNAI
NMAX 155 C,YMS WONOSOBO 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS WONOSOBO 3S,Counter Sales,TUNAI
GEAR 125 S,YMS WONOSOBO 3S,Counter Sales,TUNAI
NMAX 155 C,YMS WONOSOBO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS WONOSOBO 3S,Counter Sales,TUNAI
NMAX 155,YMS WONOSOBO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS WONOSOBO 3S,Counter Sales,TUNAI
NMAX 155 C,YMS WONOSOBO 3S,Counter Sales,TUNAI
NMAX 155,YMS WONOSOBO 3S,Counter Sales,TUNAI
FREEGO 125,YMS WONOSOBO 3S,Counter Sales,TUNAI
AEROX 155 C,YMS WONOSOBO 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS WONOSOBO 3S,Counter Sales,TUNAI
FILANO NEO,YMS TEMANGGUNG 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS TEMANGGUNG 3S,Counter Sales,TUNAI
FAZZIO NEO,PLJ PARAKAN,Salesman,TUNAI
GEAR 125,YMS TEMANGGUNG 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS TEMANGGUNG 3S,Counter Sales,TUNAI
FAZZIO NEO,PLJ PARAKAN,Salesman,TUNAI
FREEGO 125,YMS TEMANGGUNG 3S,Counter Sales,TUNAI
NMAX 155,PLJ PARANGTRITIS,Salesman,TUNAI
FAZZIO NEO,PLJ PARANGTRITIS,Salesman,TUNAI
AEROX 155 C,PLJ PARANGTRITIS,Salesman,TUNAI
FREEGO 125,YMS WATES 3S,Counter Sales,TUNAI
MIO 125 CW,YMS WATES 3S,Counter Sales,TUNAI
AEROX C CYBERCT,PLJ PARANGTRITIS,Salesman,TUNAI
FAZZIO NEO,PLJ PARANGTRITIS,Salesman,TUNAI
NMAX 155,PLJ PARANGTRITIS,Salesman,TUNAI
FILANO LUX,YMS WATES 3S,Counter Sales,TUNAI
NMAX 155 C,YMS WATES 3S,Counter Sales,TUNAI
FILANO LUX,PLJ PARANGTRITIS,Salesman,TUNAI
NMAX 155 ABS,PLJ PARANGTRITIS,Salesman,TUNAI
NMAX 155,PLJ PARANGTRITIS,Salesman,TUNAI
NMAX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
FILANO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
LEXI,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
XMAX C,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155,YMS SANG AJI 3S,Counter Sales,TUNAI
FILANO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
FILANO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
FILANO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
FILANO LUX,YMS SANG AJI 3S,Counter Sales,TUNAI
MIO 125,YMS SANG AJI 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS SANG AJI 3S,Salesman,TUNAI
FAZZIO LUX,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS SANG AJI 3S,Salesman,TUNAI
FILANO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
XMAX C,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS SANG AJI 3S,Counter Sales,TUNAI
FILANO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS SANG AJI 3S,Counter Sales,TUNAI
MX KING 150 NEW,YMS SANG AJI 3S,Counter Sales,TUNAI
GEAR 125 S,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX C CYBERCT,YMS SANG AJI 3S,Counter Sales,TUNAI
ALL NEW XSR 155,YMS SANG AJI 3S,Salesman,TUNAI
GEAR 125,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155 ABS,YMS SANG AJI 3S,Counter Sales,TUNAI
FILANO NEO,YMS SANG AJI 3S,Salesman,TUNAI
NMAX 155 ABS,YMS SANG AJI 3S,Salesman,TUNAI
FREEGO 125,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
JUPITER Z1CWFIN,YMS SANG AJI 3S,Counter Sales,TUNAI
NMAX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
GEAR 125,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS SANG AJI 3S,Counter Sales,TUNAI
FAZZIO NEO,YMS SANG AJI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS WONOSARI 3S,Counter Sales,TUNAI
LEXI,YMS WONOSARI 3S,Salesman,TUNAI
LEXI,YMS WONOSARI 3S,Salesman,TUNAI
MX KING 150 NEW,YMS WONOSARI 3S,Counter Sales,TUNAI
FILANO NEO,YMS WONOSARI 3S,Salesman,TUNAI
NMAX 155,YMS WONOSARI 3S,Counter Sales,TUNAI
NMAX 155,YMS WONOSARI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS WONOSARI 3S,Counter Sales,TUNAI
AEROX 155 C,YMS WONOSARI 3S,Counter Sales,TUNAI
NMAX 155,YMS WONOSARI 3S,Counter Sales,TUNAI
FILANO NEO,YMS WONOSARI 3S,Counter Sales,TUNAI
LEXI,YMS KULON PROGO,Counter Sales,TUNAI
AEROX 155 C,YMS KULON PROGO,Salesman,TUNAI
AEROX 155 C,YMS KULON PROGO,Counter Sales,TUNAI
MX KING 150 NEW,YMS KULON PROGO,Counter Sales,TUNAI
AEROX C CYBERCT,YMS KULON PROGO,Counter Sales,TUNAI
FAZZIO NEO,YMS KULON PROGO,Counter Sales,TUNAI
NMAX 155,YMS KULON PROGO,Counter Sales,TUNAI
NMAX 155 C,YMS KULON PROGO,Salesman,TUNAI
NMAX 155,YMS KULON PROGO,Salesman,TUNAI
NMAX 155,YMS KULON PROGO,Salesman,TUNAI
NMAX 155 C,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155 C,YMS 3S KLATEN,Counter Sales,TUNAI
AEROX 155 C,YMS 3S KLATEN,Salesman,TUNAI
MIO 125 CW,YMS 3S KLATEN,Salesman,TUNAI
MIO 125 CW,YMS 3S KLATEN,Salesman,TUNAI
MIO 125 CW,PLJ JATINOM,Salesman,TUNAI
FILANO NEO,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155 C,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155,YMS 3S KLATEN,Counter Sales,TUNAI
GEAR 125,YMS 3S KLATEN,Salesman,TUNAI
FAZZIO LUX,YMS 3S KLATEN,Counter Sales,TUNAI
FAZZIO NEO,PLJ JATINOM,Salesman,TUNAI
NMAX 155 C,YMS 3S KLATEN,Salesman,TUNAI
AEROX 155 C,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155,YMS 3S KLATEN,Salesman,TUNAI
AEROX 155 C,YMS 3S KLATEN,Salesman,TUNAI
AEROX C CYBERCT,YMS 3S KLATEN,Counter Sales,TUNAI
AEROX C CYBERCT,YMS 3S KLATEN,Salesman,TUNAI
AEROX-C ABS,YMS 3S KLATEN,Salesman,TUNAI
NMAX 155,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155,YMS 3S KLATEN,Salesman,TUNAI
WR 155 R,YMS 3S KLATEN,Counter Sales,TUNAI
XMAX C,YMS 3S KLATEN,Counter Sales,TUNAI
LEXI,YMS 3S KLATEN,Salesman,TUNAI
FILANO NEO,YMS 3S KLATEN,Counter Sales,TUNAI
AEROX C CYBERCT,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155 C,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155 C,YMS 3S KLATEN,Counter Sales,TUNAI
FILANO LUX,YMS 3S KLATEN,Counter Sales,TUNAI
FAZZIO NEO,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155,YMS 3S KLATEN,Counter Sales,TUNAI
NMAX 155,YMS 3S KLATEN,Salesman,TUNAI
AEROX C CYBERCT,3S MADIUN,Salesman,TUNAI
FILANO NEO,3S MADIUN,Counter Sales,TUNAI
FAZZIO NEO,3S MADIUN,Counter Sales,TUNAI
